youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
qywXHDGTJ_8,"She Won't Take No for an Answer | Solo Camping for Two",false,165,"Crunchyroll",@crunchyroll,ja
AelNkshUXtE,"X Finally Appears | TO BE HERO X",false,158,"Crunchyroll",@crunchyroll,ja
mnVfW0Xs5o8,"Let's Go Karaoke! Opening | ""HOWL"" by Ayumu Imazu",false,164,"Crunchyroll",@crunchyroll,ja
3g_7TViNhrk,"Kikoru Meets Evil Kikoru | Kaiju No. 8",false,109,"Crunchyroll",@crunchyroll,ja
j3lteMuauOk,"Her Boyfriend Forgot She Exists | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
sO0zDHxjjxA,"There was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her | Official Trailer",false,166,"Crunchyroll",@crunchyroll,ja
MkA0peZSq1E,"Shizuku Gets Rejected | Solo Camping for Two",false,165,"Crunchyroll",@crunchyroll,ja
v2kn3tS50ts,"Forced to Drink Cola in Another World | Reborn as a Vending Machine",false,32,"Crunchyroll",@crunchyroll,ja
BDZN43PwPjc,"Knocked The Nuts Out of Her Pocket | Secrets of the Silent Witch",false,163,"Crunchyroll",@crunchyroll,ja
01nb-A3fK30,"She Didn't Want to be Cured | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
_3IkiNhe5Mo,"You Got a Girlfriend? With a CAR? | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
fgUc7ItInws,"Voice Actress Went Insane on This | Gachiakuta",false,157,"Crunchyroll",@crunchyroll,ja
jWvkqSwhQnM,"Erika Confesses | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
Fr5oxVlw7mw,"Gojo is FR Traumatized | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
0DDzbUOc9_g,"My Apartment is Full of Girls | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
Ic_uJNefNsc,"A Very Bad Night for Mooks | The Water Magician",false,162,"Crunchyroll",@crunchyroll,ja
WMF73t-eEOg,"Will You Marry Me? | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
J5Vvh9vfIok,"I Support Women's Wrongs | Lord of Mysteries",false,167,"Crunchyroll",@crunchyroll,ja
wSZPE5kewdg,"The Wedding is Fake but the Kiss is Real | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
ugesUvN44Zk,"You Don't Understand My Husbando Like I Do | See You Tomorrow at the Food Court",false,168,"Crunchyroll",@crunchyroll,ja
V7bHt9TYyc8,"Nene is Forced to Literally Marry Death | Toilet-bound Hanako-kun Season 2",false,169,"Crunchyroll",@crunchyroll,ja
kc4aNPyWSLg,"Executed via Pressure Washer | Reborn as a Vending Machine",false,32,"Crunchyroll",@crunchyroll,ja
LIbChKAe2w8,"""Can I Borrow Your Girlfriend Sometimes?"" | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
W2nIoxZCiA0,"Ichikawa Finally Uses Kaiju No. 6's Power | Kaiju No. 8",false,109,"Crunchyroll",@crunchyroll,ja
KQVAXN-sW7A,"Lloyd Beats Up The Freaking Pope | I Was Reincarnated as the 7th Prince",false,65,"Crunchyroll",@crunchyroll,ja
enkDfWmnL5o,"Marin Drives the Entire School Insane | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
Jxhl0FZNUpA,"Marin Gets EVERYTHING She Wants! | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
yygAoEjSjWQ,"See You Tomorrow at the Food Court - Ending | ""Tonari Awase"" by Hiyori Miyazaki and Yoshino Aoyama",false,168,"Crunchyroll",@crunchyroll,ja
Jxhl0FZNUpA,"Marin Gets EVERYTHING She Wants! | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
W73mio_iSso,"What If We Kissed… The Vending Machine?  🙈🙊🙉❣️ | Reborn as a Vending Machine",false,32,"Crunchyroll",@crunchyroll,ja
SZdWpC8xC5M,"Nellulu Hulks Out | Clevatess",false,131,"Crunchyroll",@crunchyroll,ja
Q_949twqFTU,"Slayed the Dragon with a Perfect Headshot | Secrets of the Silent Witch",false,163,"Crunchyroll",@crunchyroll,ja
LIbChKAe2w8,"""Can I Borrow Your Girlfriend Sometimes?"" | Rascal Does Not Dream of Santa Claus",false,140,"Crunchyroll",@crunchyroll,ja
