youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
hrSg8j67FHs,"It's Gotta be You! | Rent-a-Girlfriend",false,1,"Crunchyroll",@crunchyroll,ja
qPRN8dPBcdw,"We're Not Fairy Tales | Frieren: Beyond Journey's End",false,55,"Crunchyroll",@crunchyroll,ja
N-rU8l7V160,"Cardio. Never Again. | Food for the Soul",false,93,"Crunchyroll",@crunchyroll,ja
dMIZrie15z4,"Only Take Sweets Recs From the Baddest Dudes | Frieren: Beyond Journey's End",false,55,"Crunchyroll",@crunchyroll,ja
6IaS8s3hoH0,"Do You... Like Me? | One Piece",false,92,"Crunchyroll",@crunchyroll,ja
mnc8qacaXyM,"Roger's Execution | One Piece",false,92,"Crunchyroll",@crunchyroll,ja
dV5gfb5o3Bo,"Wenn du deinen Kumpels deine Freundin vorstellst | Rent-a-Girlfriend",false,1,"Crunchyroll Extras Deutschland",@CrunchyrollExtrasDeutschland,de
P6N7hzaGwHo,"Attack on Titan Synchro-Clip: Eren Jäger",false,87,"Crunchyroll Extras Deutschland",@CrunchyrollExtrasDeutschland,de
